food;ingredients;category;kitchen;food_url
Салат с брокколи;капуста брокколи, красные грейпфруты, красный лук, грецкие орехи, зерна граната, мед, оливковое масло, белый винный уксус, соль, молотый черный перец;Салаты;Авторская кухня;https://eda.ru/recepty/salaty/salat-s-brokkoli-20067
Салат с рукколой и креветками;креветки, чеснок, оливковое масло, красный винный уксус, бальзамический уксус, белое сухое вино, пряная рукола «белая дача», сыр пармезан, соль, молотый черный перец;Салаты;Средиземноморская кухня;https://eda.ru/recepty/salaty/salat-s-rukkoloy-i-krevetkami-124926
Салат из сельдерея;стебель сельдерея, морковь, зеленые яблоки, темный изюм, кешью, лимон, оливковое масло;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-iz-seldereja-s-morkovju-i-jablokami-35747
Салат нисуаз со свежим тунцом, каперсами и анчоусами;молодой картофель, оливковое масло, филе тунца, зеленая стручковая фасоль, чеснок, дижонская горчица, белый винный уксус, листья латука, помидоры черри, маслины, каперсы, филе анчоуса, куриное яйцо, лимон;Салаты;Французская кухня;https://eda.ru/recepty/salaty/salat-nisuaz-so-svezhim-tuncom-kapersami-i-anchousami-19847
Салат с мандаринами и камамбером;красное сухое вино, палочки корицы, кардамон, анис (бадьян), гвоздика, мандарины, сыр камамбер, пряная рукола «белая дача», бальзамический крем, сахар, соль, молотый черный перец;Салаты;Вегетарианская еда;https://eda.ru/recepty/salaty/salat-s-mandarinami-i-kamamberom-126198
Острый салат с кукурузой и айсбергом;хрустящий айсберг «белая дача»  , помидоры, консервированная мини кукуруза, морковь, петрушка, кинза, мята, перец чили, кешью, лайм, рыбный соус, коричневый сахар, растительное масло, перец чили хлопьями, соль, красный лук;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/ostryy-salat-s-kukuruzoy-i-aysbergom-92268
Салат из свеклы;свекла, чеснок, грецкие орехи, майонез, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-iz-svekly-140906
Салат с редиской;редис, огурцы, куриное яйцо, укроп, зеленый лук, жирная сметана, соль, молотый черный перец;Салаты;Русская кухня;https://eda.ru/recepty/salaty/salat-s-rediskoy-140860
Салат с кальмарами и чоризо;мини кальмары , чоризо, молодой картофель, консервированные артишоки, манго, оливковое масло extra virgin, смесь салатных листьев, соль, молотый черный перец;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-kalmarami-i-chorizo-37233
Салат с дыней и голубым сыром;свежая мята, йогурт, сахар, лимонный сок, дыня, грецкие орехи, шпинат, голубой сыр, молотый черный перец, соль, оливковое масло;Салаты;Итальянская кухня;https://eda.ru/recepty/salaty/salat-s-dyney-i-golubym-syrom-137106
Салат с жареным халуми, сладким перцем и маслинами;красный сладкий перец, желтый сладкий перец, маслины без косточек, сыр халуми, мята, петрушка, укроп, сумах, крупная соль, оливковое масло;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/salat-s-zharenym-halumi-sladkim-percem-i-maslinami-93026
Салат из крабовых палочек с кукурузой;консервированная кукуруза, крабовые палочки, рис, куриное яйцо, зеленый лук, укроп, петрушка, соль, майонез;Салаты;Советская кухня;https://eda.ru/recepty/salaty/salat-iz-krabovih-palochek-s-kukuruzoj-22555
Свежий зеленый салат с курицей, овощами и сыром;куриное яйцо, помидоры, салат айсберг, молотый черный перец, сыр чеддер, куриное филе, огурцы;Салаты;Европейская кухня;https://eda.ru/recepty/salaty/svezhij-zelenij-salat-s-kuricej-ovoshhami-i-sirom-34921
Салат с креветками, дыней, арбузом и руколой;тигровые креветки, рукола, арбуз, дыня, укроп, оливковое масло, бальзамический уксус, мед, соль, молотый черный перец;Салаты;Средиземноморская кухня;https://eda.ru/recepty/salaty/salat-s-krevetkami-dyney-arbuzom-i-rukoloy-94010
Салат с мандаринами и камамбером;красное сухое вино, палочки корицы, кардамон, анис (бадьян), гвоздика, мандарины, сыр камамбер, пряная рукола «белая дача», бальзамический крем, сахар, соль, молотый черный перец;Салаты;Вегетарианская еда;https://eda.ru/recepty/salaty/salat-s-mandarinami-i-kamamberom-126198
